;Postagens;Classification
216;"Voces sao essenciais nessa caminhada!Eu sou grato por cada palavra, pensamento positivo e oracao. Sou grato por ter voces!Vamos juntos nessa. Rumo a vitoria!
";1
217;"Amigos, obrigado por todo incentivo que temos recebido durante a campanha. A cada dia o apoio aumenta e vamos sentindo que estamos no caminho certo!Que Deus nos de sabedoria nessa caminhada e nos permita a vitoria!
";1
277;"Lancamos oficialmente a nossa Campanha em Presidente Venceslau, uma linda carreata marcou o inicio da nossa jornada.Vamos juntos espalhar o !!!SAO PAULO, rumo a Vitoria! 
";1
475;"Eu quero agradecer cada um de voces que fizeram mais esse momento historico acontecer! Eu, Marcus Alexandre e Nazare Araujo estamos ainda mais animados e confiantes que vai valer a pena continuar nessa caminhada pelo futuro do Acre. CONTAMOS COM VOCE!  -- em Palacio Rio Branco
";1
555;"Lancamos oficialmente a nossa Campanha em Americana. Ao lado da minha familia, assumimos o compromisso de colocar Americana de volta na rota do desenvolvimento e geracao de empregos.Vamos juntos espalhar o !!!SAO PAULO, rumo a Vitoria! 
";1
757;"Lancamos oficialmente a nossa Campanha em Americana. Ao lado da minha familia, assumimos o compromisso de colocar Americana de volta na rota do desenvolvimento e geracao de empregos.Vamos juntos espalhar o !!!SAO PAULO, rumo a Vitoria! ... Ver mais
";1
790;"Nossa campanha esta linda, muitas palavras de apoio e incentivo em nossa jornada. Meu muito obrigado a cidade de Tupa que sempre nos recepciona com muito carinho e respeito pelo nosso trabalho.Nos ajude a espalhar o !!!SAO PAULO e BRASIL, rumo a Vitoria! ... Ver mais
";1
821;"Voces sao essenciais nessa caminhada!Eu sou grato por cada palavra, pensamento positivo e oracao. Sou grato por ter voces!Vamos juntos nessa. Rumo a vitoria!... Ver mais
";1
825;"A paz do Senhor, povo de Deus! Hoje tem Cruzada em Vitoria de Santo Antao!Vamos adorar ao Senhor junto com Kemilly Santos, Lohaine Collins e muitos outros. Chame sua familia e leve uma pessoa que precisa ouvir a Palavra do Senhor, hoje sera dia de salvacao!... Ver mais
";1
866;"Lancamos oficialmente a nossa Campanha em Presidente Venceslau, uma linda carreata marcou o inicio da nossa jornada.Vamos juntos espalhar o !!!SAO PAULO, rumo a Vitoria! ... Ver mais
";1
893;"Minas Gerais ta com o Ze! A nossa campanha esta crescendo em todas as regioes do nosso Estado. Estou muito feliz e animado com o apoio de cada um que sonha em ver o Brasil olhar para Minas Gerais. Vamos conquistar mais e mais pessoas, apresentando o caminho trilhado ate aqui, e as nossas propostas, rumo a vitoria com as bencaos de Deus. ... Ver mais
";1
919;"Ao lado do grande Eduardo Bolsonaro candidato a Deputado Federal por Sao Paulo. Meu irmao vc tem meu apoio e o meu voto e tambem da minha Maezinha .jesus. pois atraves dela q comecei a seguir, gostar e apoiar o seu pai .Quero muito agradecer mais uma vez a sua visita em Catanduva, no Clube de Tiro Rebelato e por tudo q vc vem fazendo por Sao Paulo e pelo Brasil . Fico grato tambem em termos conosc... Ver mais
";1
1060;"OBRIGADO! O abraco de voces mostra que a nossa caminhada comeca na direcao da vitoria, junto com Marcus Alexandre e Nazareth Araujo e Lula.A gente se alegra na esperanca de fazer o Acre crescer e cuidar das pessoas que estao passando necessidade.Mas tem uma coisa muito importante: precisamos de voce com a gente. Vamos juntos?... Ver mais
";1
1063;"do inicio dessa caminhada rumo a camara federal. Muitas sao as pedras no caminho, mas juntos chegaremos la! Conto com o seu voto e com os votos que trara para para deputado federal em Minas Gerais.Somos muitos e seremos muito mais.Gustavo Mendes e Lula!... Ver mais
";1
